[31/12/2024 13:51:18] [INFO] received Windows console close event; shutting log-core down
[31/12/2024 14:02:21] [INFO] received Windows console close event; shutting log-core down
[31/12/2024 14:04:18] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 12:30:23] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 16:16:44] [INFO] received Windows console close event; shutting log-core down
[01/01/2025 16:49:26] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 12:17:46] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 13:20:10] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 14:06:15] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 15:29:19] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 19:38:31] [INFO] received Windows console close event; shutting log-core down
[02/01/2025 21:19:09] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 16:00:06] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 16:02:01] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 16:12:41] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 16:46:28] [INFO] received Windows console close event; shutting log-core down
[03/01/2025 21:35:58] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 11:14:12] [INFO] received Windows console close event; shutting log-core down
[04/01/2025 11:14:22] [INFO] received Windows console close event; shutting log-core down
